suburb,date,price
Palmerston,2011-02-11,652000
Harrison,2011-02-11,768000
Holder,2011-02-11,529950
Kambah,2011-02-11,500000
Harrison,2011-02-11,602000
Casey,2011-02-11,233000
Kambah,2011-02-12,975000
Bonner,2011-02-12,265000
Gordon,2011-02-12,456000
Nicholls,2011-02-12,735000
Monash,2011-02-12,470000
Casey,2011-02-12,225000
Griffith,2011-02-12,1220000
Red Hill,2011-02-12,926000
Griffith,2011-02-12,1000000
Lyons,2011-02-12,717250
Casey,2011-02-13,240000
Casey,2011-02-14,210000
Casey,2011-02-14,225000
Isabella Plains,2011-02-14,445000
Waramanga,2011-02-14,480000
Bonner,2011-02-14,481000
Franklin,2011-02-14,551000
Charnwood,2011-02-14,384000
Gilmore,2011-02-14,700000
Rivett,2011-02-14,505000
Latham,2011-02-14,510000
Casey,2011-02-14,210000
Gilmore,2011-02-14,205000
Ngunnawal,2011-02-15,352500
Harrison,2011-02-15,505000
Amaroo,2011-02-15,519000
Bruce,2011-02-15,635000
Dunlop,2011-02-15,476000
Dunlop,2011-02-15,475000
Macquarie,2011-02-15,451000
Mawson,2011-02-15,812500
Hackett,2011-02-15,620000
Ngunnawal,2011-02-15,770000
Hackett,2011-02-15,550000
Casey,2011-02-15,207000
Calwell,2011-02-15,429000
Narrabundah,2011-02-15,1100000
Wanniassa,2011-02-15,755000
Monash,2011-02-15,560000
Kambah,2011-02-15,656000
Kambah,2011-02-15,460000
Kaleen,2011-02-15,485000
Dunlop,2011-02-15,466000
Forde,2011-02-15,215000
Casey,2011-02-15,267000
Banks,2011-02-16,420000
Crace,2011-02-16,77000
Crace,2011-02-16,77000
Crace,2011-02-16,78000
Amaroo,2011-02-16,539000
Crace,2011-02-16,500000
Griffith,2011-02-16,1347500
Casey,2011-02-16,420000
Banks,2011-02-16,470000
Latham,2011-02-16,380000
Campbell,2011-02-16,1350001
Franklin,2011-02-16,615000
Harrison,2011-02-16,600000
Hackett,2011-02-16,831000
Casey,2011-02-16,220000
Richardson,2011-02-16,370000
Theodore,2011-02-16,460000
Crace,2011-02-16,316500
Flynn,2011-02-16,531000
Dunlop,2011-02-16,141666
Melba,2011-02-16,465000
Garran,2011-02-16,642000
Casey,2011-02-17,330000
Kambah,2011-02-17,620000
Duffy,2011-02-17,600000
Ainslie,2011-02-17,950000
Gilmore,2011-02-17,462000
Isabella Plains,2011-02-17,528000
Isabella Plains,2011-02-17,545000
Franklin,2011-02-17,400000
Greenway,2011-02-17,580000
Casey,2011-02-17,221000
Watson,2011-02-17,587000
Ngunnawal,2011-02-17,760000
Flynn,2011-02-17,500000
Scullin,2011-02-17,471000
Gordon,2011-02-18,438000
Dickson,2011-02-18,755000
Nicholls,2011-02-18,980000
Macarthur,2011-02-18,512000
